age,income_per_month,monthly_expenses,risk_tolerance,financial_goal,goal_horizon_years,investment_experience,equity_percent,debt_percent,gold_percent,real_estate_percent
52,72949,27062,Low,Education,7,Intermediate,14.12,75.6,10.27,0.0
24,212898,84082,Low,Retirement,13,Beginner,12.83,62.5,10.12,14.56
43,90474,65327,High,House,21,Intermediate,81.19,9.42,9.39,0.0
37,193615,72643,Medium,Education,3,Beginner,55.75,22.74,9.46,12.05
51,133758,70607,Medium,House,28,Beginner,67.35,22.5,10.15,0.0
34,269329,151788,Medium,House,15,Expert,57.53,26.69,8.97,6.8
23,198734,146608,High,Retirement,9,Beginner,71.04,20.65,8.31,0.0
50,87443,55656,High,Education,13,Intermediate,83.58,8.53,7.9,0.0
49,174721,94481,Medium,Education,22,Beginner,60.5,20.77,8.5,10.23
34,134010,54848,Medium,House,2,Expert,39.44,49.72,10.84,0.0
49,297948,217116,Medium,House,22,Beginner,52.9,35.88,11.22,0.0
37,82287,61679,Medium,Education,4,Beginner,59.37,31.21,9.43,0.0
59,179379,120900,Low,Retirement,19,Beginner,15.48,63.32,11.83,9.36
29,191349,88955,Medium,Education,22,Expert,63.75,22.21,8.03,6.0
38,46950,20325,Low,House,1,Intermediate,10.15,81.55,8.3,0.0
52,292544,212974,Medium,Education,10,Expert,56.36,27.65,15.98,0.0
36,91537,71342,Low,Retirement,24,Beginner,15.58,69.68,14.74,0.0
33,233286,107037,Medium,Education,10,Expert,52.95,32.63,9.53,4.89
54,192857,94404,Medium,Education,3,Beginner,57.2,26.9,7.96,7.94
21,139875,81367,High,Education,17,Beginner,84.68,5.45,9.87,0.0
34,124186,71890,Low,House,10,Intermediate,15.26,74.93,9.81,0.0
44,213946,141916,Medium,Wealth Creation,8,Beginner,55.72,29.97,7.45,6.86
39,254453,108909,Medium,Wealth Creation,25,Intermediate,51.14,25.88,9.01,13.96
40,38557,18135,High,Retirement,10,Beginner,71.62,20.59,7.79,0.0
37,250693,194388,Medium,Education,23,Expert,54.53,36.76,8.72,0.0
39,46081,32124,Medium,Education,1,Beginner,50.08,43.09,6.83,0.0
21,75514,31337,Medium,Wealth Creation,27,Beginner,69.31,20.13,10.55,0.0
21,124127,68128,Medium,Retirement,17,Beginner,59.64,32.68,7.69,0.0
27,218763,105353,Medium,Education,13,Beginner,52.57,27.76,7.79,11.89
30,276433,107629,Low,Wealth Creation,17,Beginner,19.15,58.87,10.61,11.37
26,182002,111833,Medium,Retirement,6,Intermediate,53.64,23.11,7.08,16.18
47,158009,87288,High,Wealth Creation,4,Expert,71.73,11.38,10.19,6.71
53,262262,87675,Medium,Wealth Creation,23,Intermediate,52.8,25.77,10.5,10.93
49,127041,84800,Medium,Retirement,9,Beginner,53.47,36.88,9.64,0.0
51,194673,61515,Medium,House,7,Beginner,51.16,28.33,7.58,12.94
30,155393,102038,Medium,Retirement,28,Intermediate,55.43,25.45,9.67,9.45
32,170056,111958,Low,Retirement,27,Beginner,25.2,53.67,10.36,10.77
56,92902,54506,Low,Education,15,Beginner,19.29,70.77,9.94,0.0
46,283136,157334,Medium,Retirement,10,Beginner,56.68,28.29,7.73,7.3
44,130957,54766,Low,House,1,Intermediate,9.02,85.26,5.72,0.0
44,285864,105026,Low,Education,17,Expert,14.24,61.3,10.99,13.47
41,219316,131219,Medium,Wealth Creation,23,Beginner,53.79,20.85,12.2,13.17
40,53324,29390,Medium,Retirement,17,Beginner,56.38,34.22,9.39,0.0
38,256538,131636,Medium,Education,24,Intermediate,54.0,31.99,6.85,7.15
35,133627,66958,Medium,Education,19,Beginner,55.22,32.2,12.58,0.0
48,141169,80717,Medium,House,21,Expert,52.11,37.32,10.56,0.0
53,188112,149423,Low,Wealth Creation,3,Beginner,18.28,74.17,7.55,0.0
56,197926,134174,High,Retirement,14,Intermediate,76.79,4.65,9.86,8.7
45,109353,62618,Medium,Education,16,Intermediate,58.14,31.55,10.32,0.0
26,99183,57472,Medium,House,9,Beginner,59.48,29.83,10.7,0.0
53,72344,38810,Medium,House,3,Intermediate,57.38,33.16,9.46,0.0
34,278667,95149,Medium,Wealth Creation,17,Beginner,58.35,25.12,9.64,6.88
54,177977,117541,Medium,Education,28,Intermediate,60.66,21.53,8.07,9.74
33,288591,92076,Low,Wealth Creation,2,Intermediate,8.61,71.06,8.01,12.32
22,136220,42862,Medium,Retirement,4,Beginner,54.33,34.04,11.64,0.0
50,101268,49886,Low,Wealth Creation,8,Beginner,18.82,73.81,7.37,0.0
47,173956,69385,Medium,Wealth Creation,7,Beginner,60.33,25.04,7.58,7.05
43,209826,126527,Medium,House,6,Beginner,53.77,25.32,8.03,12.88
28,54409,33177,Medium,Education,29,Beginner,53.94,35.39,10.67,0.0
32,20363,9417,Low,Retirement,2,Intermediate,8.98,84.36,6.66,0.0
51,20882,10104,High,Wealth Creation,12,Beginner,80.71,7.61,11.69,0.0
41,48885,21953,Low,House,4,Beginner,24.39,68.31,7.3,0.0
30,201089,93867,Medium,House,8,Beginner,52.37,33.45,5.76,8.42
22,96411,73263,Medium,Retirement,4,Expert,51.12,41.99,6.9,0.0
49,258441,196775,Low,Education,29,Beginner,26.3,63.61,10.09,0.0
41,38667,21121,Low,Education,7,Beginner,26.71,65.93,7.35,0.0
46,290012,164912,Medium,House,12,Expert,62.77,18.74,7.25,11.24
58,160183,111807,Medium,Wealth Creation,24,Beginner,59.37,24.81,9.14,6.69
44,209216,111334,Medium,House,18,Beginner,54.25,23.66,13.3,8.79
47,142989,60296,Low,Retirement,20,Beginner,19.32,70.22,10.46,0.0
43,61139,34956,Medium,House,23,Expert,62.46,25.22,12.32,0.0
41,173857,130510,Medium,House,15,Intermediate,65.58,23.04,11.38,0.0
38,145549,84365,Medium,Retirement,24,Intermediate,57.77,34.04,8.18,0.0
43,134881,92873,Medium,House,26,Beginner,61.58,28.15,10.26,0.0
24,178761,64782,High,Education,18,Intermediate,73.35,9.9,9.71,7.04
21,276139,169648,Medium,Retirement,2,Intermediate,35.05,39.79,11.64,13.52
50,178901,134578,High,Wealth Creation,19,Beginner,75.39,15.26,9.34,0.0
32,178666,58362,Low,Education,18,Expert,18.66,60.51,8.02,12.82
46,164587,121071,Low,Retirement,23,Intermediate,23.29,66.49,10.21,0.0
57,25636,19283,Low,House,20,Beginner,27.58,61.35,11.07,0.0
27,123463,97353,Low,Retirement,3,Beginner,18.86,69.74,11.41,0.0
21,246179,161927,Low,Wealth Creation,12,Intermediate,24.85,53.66,10.13,11.37
47,207535,96017,Low,Education,29,Intermediate,25.58,56.38,10.36,7.67
32,246905,94907,Medium,House,16,Intermediate,48.57,29.36,9.77,12.29
48,102018,57710,Medium,Education,14,Beginner,57.57,31.13,11.3,0.0
34,257989,178583,Low,House,21,Beginner,16.61,58.07,10.91,14.41
30,124824,70869,Medium,Retirement,6,Beginner,57.47,34.8,7.73,0.0
30,222123,174145,Medium,House,4,Beginner,67.87,24.35,7.78,0.0
43,39403,15501,Medium,Education,4,Beginner,55.56,34.67,9.78,0.0
55,113246,64301,Medium,House,23,Intermediate,56.75,32.53,10.72,0.0
35,276681,94336,Low,Education,2,Beginner,13.86,67.9,7.84,10.41
47,257474,105575,Medium,Retirement,10,Expert,56.02,21.3,9.11,13.57
24,225232,179129,High,Education,4,Intermediate,84.7,5.76,9.54,0.0
51,80654,26803,Low,Retirement,19,Beginner,21.84,67.7,10.46,0.0
46,186991,116879,Medium,Retirement,13,Intermediate,58.63,24.4,8.72,8.24
56,117493,50975,High,Wealth Creation,22,Intermediate,76.96,15.27,7.77,0.0
32,168790,134404,Medium,Education,4,Intermediate,63.41,26.53,10.06,0.0
40,212718,106973,Medium,Retirement,28,Intermediate,51.37,25.49,9.61,13.53
39,232369,125211,Medium,House,4,Beginner,47.78,37.01,7.65,7.56
24,59236,21920,Low,Education,10,Beginner,20.88,70.12,9.0,0.0
30,230047,88136,Low,House,21,Expert,14.68,67.55,9.8,7.97
41,283312,130117,Medium,Retirement,26,Intermediate,50.66,28.5,10.82,10.02
39,252931,140696,High,Education,1,Intermediate,56.44,18.66,9.4,15.49
56,254873,157976,Medium,Retirement,10,Intermediate,45.98,34.97,10.01,9.04
48,138910,45116,Medium,Wealth Creation,20,Expert,56.96,34.59,8.45,0.0
41,179762,55335,Low,Wealth Creation,1,Beginner,20.0,64.3,9.03,6.66
23,111288,46312,Medium,Wealth Creation,13,Beginner,63.87,26.2,9.93,0.0
54,271063,105820,Medium,Retirement,16,Beginner,57.45,21.31,8.74,12.5
37,82785,35349,Medium,House,19,Intermediate,60.61,29.06,10.33,0.0
40,176688,64188,Medium,House,2,Expert,36.04,39.14,9.11,15.71
27,222278,90782,High,Education,8,Beginner,63.73,18.33,8.64,9.3
44,268003,187202,Medium,Education,24,Beginner,54.08,24.88,10.9,10.14
37,188733,150517,Medium,Wealth Creation,3,Expert,48.33,45.5,6.17,0.0
29,198446,102440,High,House,24,Intermediate,71.92,10.43,10.01,7.64
40,56160,36004,Medium,Retirement,17,Intermediate,66.88,24.59,8.53,0.0
52,261766,147004,Low,Education,22,Beginner,17.6,59.86,9.45,13.08
59,49777,16435,High,Education,2,Intermediate,77.99,10.8,11.21,0.0
29,141544,73676,Low,Education,8,Expert,24.53,69.23,6.24,0.0
48,276157,119154,Medium,House,25,Beginner,63.57,20.9,7.87,7.67
40,112837,86385,Low,Wealth Creation,4,Beginner,26.63,62.95,10.42,0.0
51,247467,89193,Low,Retirement,5,Expert,23.02,55.85,9.83,11.3
22,65641,42682,Medium,Retirement,12,Beginner,66.71,22.71,10.58,0.0
51,125723,39758,Medium,House,23,Beginner,66.55,21.98,11.47,0.0
54,261422,161447,Low,Education,6,Expert,24.03,62.79,6.46,6.72
30,31826,23437,Medium,Wealth Creation,29,Intermediate,58.47,29.32,12.21,0.0
22,162339,55444,Low,Wealth Creation,17,Intermediate,17.22,65.32,11.81,5.65
33,180020,130317,Medium,House,6,Beginner,55.31,36.32,8.36,0.0
57,209607,161873,Medium,Education,22,Intermediate,61.87,27.21,10.92,0.0
33,220003,156925,Low,Education,14,Beginner,14.8,74.75,10.45,0.0
55,71024,25139,Low,House,13,Beginner,22.43,64.35,13.22,0.0
46,95118,36953,Medium,Retirement,28,Expert,56.43,32.6,10.97,0.0
59,292168,196886,Low,Wealth Creation,13,Intermediate,20.48,59.78,7.57,12.17
36,52940,21548,Low,Retirement,3,Beginner,16.78,72.83,10.39,0.0
30,56713,38632,Low,Wealth Creation,2,Expert,15.66,74.61,9.73,0.0
22,23880,17850,Medium,Education,20,Beginner,61.52,27.26,11.22,0.0
27,68784,24625,Low,Wealth Creation,27,Beginner,25.55,60.63,13.82,0.0
40,236398,146434,Medium,House,17,Intermediate,56.4,25.68,9.25,8.67
25,88369,31795,Medium,House,22,Expert,57.18,32.25,10.57,0.0
30,35994,13533,Low,House,12,Beginner,30.31,60.24,9.45,0.0
55,93313,56308,Low,Retirement,2,Beginner,15.05,78.31,6.64,0.0
48,268550,154060,Medium,Retirement,29,Beginner,56.72,24.87,9.0,9.41
58,125185,73959,Low,House,15,Beginner,22.42,65.63,11.96,0.0
49,245461,111138,Medium,Education,26,Beginner,49.73,34.72,8.03,7.52
31,152965,59642,Medium,House,11,Beginner,50.11,27.63,9.92,12.33
47,286186,123056,Medium,Retirement,27,Intermediate,56.2,19.6,9.89,14.31
45,207877,136686,High,House,3,Expert,75.31,7.02,5.79,11.88
30,225380,168742,Medium,Retirement,2,Beginner,41.32,47.02,11.66,0.0
32,67779,37218,High,Wealth Creation,21,Beginner,73.41,17.74,8.85,0.0
30,274957,153843,Low,Wealth Creation,21,Intermediate,22.77,60.1,8.66,8.47
35,29472,12568,Low,Education,5,Intermediate,14.02,74.55,11.43,0.0
36,298676,212291,Low,Wealth Creation,22,Beginner,26.61,62.06,11.33,0.0
58,189176,120122,Low,Retirement,8,Beginner,15.75,70.42,6.88,6.95
41,127967,67309,High,Education,20,Intermediate,78.38,12.0,9.62,0.0
49,81192,62910,Medium,Retirement,10,Intermediate,61.99,28.48,9.53,0.0
57,201062,123206,Low,Wealth Creation,8,Beginner,13.98,71.22,6.53,8.27
53,41576,15792,Medium,Wealth Creation,27,Beginner,63.18,23.34,13.48,0.0
48,211303,129652,Medium,House,29,Beginner,61.57,22.71,9.17,6.55
22,227384,165567,Medium,Education,21,Intermediate,66.56,22.4,11.05,0.0
45,275669,161672,High,Wealth Creation,3,Beginner,75.93,9.69,8.76,5.63
38,284395,184426,Medium,Retirement,20,Intermediate,60.18,22.21,9.79,7.81
21,247444,103532,Low,Education,13,Beginner,23.95,55.89,12.3,7.87
42,66015,25415,Low,Education,13,Beginner,31.58,59.07,9.34,0.0
55,70711,55488,Low,Retirement,16,Expert,17.76,72.07,10.17,0.0
35,115119,35829,High,Retirement,25,Beginner,75.86,15.07,9.07,0.0
24,173412,117017,Medium,Wealth Creation,13,Beginner,61.97,21.96,8.0,8.07
43,133606,54731,Medium,House,7,Intermediate,62.63,27.19,10.18,0.0
57,167631,82623,Medium,Retirement,2,Intermediate,47.44,29.97,11.47,11.11
56,202047,65761,Medium,Education,13,Expert,58.56,24.74,9.85,6.86
45,78959,25536,Medium,Wealth Creation,19,Beginner,68.57,22.9,8.53,0.0
57,279427,192663,Medium,Wealth Creation,20,Beginner,57.96,22.76,9.6,9.69
41,197763,83691,Medium,Retirement,7,Intermediate,52.02,28.43,7.55,12.0
51,222701,122666,High,Education,5,Intermediate,73.87,5.49,7.89,12.75
59,21537,7215,High,Retirement,9,Expert,75.92,17.57,6.51,0.0
32,109846,70852,Medium,Education,3,Beginner,63.79,27.23,8.98,0.0
37,40104,16098,Medium,Retirement,4,Beginner,65.39,28.91,5.71,0.0
34,172472,100011,High,House,6,Beginner,77.11,5.27,6.68,10.94
59,217327,65272,High,Education,14,Beginner,75.89,13.23,6.42,4.45
38,51673,38598,Medium,Wealth Creation,16,Beginner,68.65,22.69,8.66,0.0
34,253312,183604,Medium,Education,20,Beginner,62.78,26.48,10.74,0.0
25,111038,70731,High,Wealth Creation,9,Intermediate,73.71,17.82,8.47,0.0
32,182434,141219,Medium,Retirement,25,Beginner,63.44,25.08,11.48,0.0
23,212941,84941,Low,Education,25,Beginner,23.34,63.05,7.91,5.7
22,21468,14365,Medium,House,9,Beginner,55.01,35.75,9.24,0.0
52,188913,130221,Medium,Education,14,Beginner,55.37,19.4,10.19,15.04
45,191169,72682,Low,Retirement,7,Beginner,13.95,72.18,7.61,6.26
44,279636,101084,High,Education,28,Beginner,69.82,13.59,7.47,9.11
59,279425,189260,Medium,Education,18,Beginner,53.8,22.45,8.08,15.67
50,233482,123546,Medium,House,29,Beginner,50.76,26.96,7.77,14.52
40,106296,41378,High,Education,5,Intermediate,83.95,6.18,9.87,0.0
47,191999,145689,Medium,House,19,Expert,67.03,21.94,11.03,0.0
53,229124,115795,Medium,Education,1,Beginner,36.27,46.27,9.21,8.25
25,186862,87046,High,Education,28,Intermediate,76.13,9.31,8.33,6.22
50,261356,117868,Low,House,1,Intermediate,12.07,65.87,7.85,14.21
58,85641,46829,Medium,Retirement,27,Intermediate,62.08,30.23,7.69,0.0
49,222821,146867,Medium,Education,22,Beginner,57.41,24.39,8.98,9.22
43,115335,76505,Medium,Education,25,Intermediate,60.97,27.52,11.51,0.0
29,85614,61575,High,House,2,Beginner,65.27,23.75,10.98,0.0
55,278789,214685,Medium,Retirement,24,Beginner,64.47,25.1,10.42,0.0
39,170737,121467,High,House,9,Intermediate,76.58,16.46,6.96,0.0
50,66531,40567,Medium,Retirement,27,Beginner,57.25,33.01,9.74,0.0
22,70468,53603,Medium,Retirement,16,Beginner,55.24,31.21,13.55,0.0
49,67599,37676,Medium,Wealth Creation,15,Intermediate,64.41,26.98,8.62,0.0
30,164575,104315,High,Wealth Creation,19,Beginner,73.65,4.29,9.7,12.36
46,177212,111864,High,Education,25,Beginner,70.44,5.99,9.92,13.65
58,114968,63994,Medium,House,21,Beginner,67.51,22.13,10.36,0.0
56,219294,78454,Medium,House,8,Beginner,53.59,27.82,10.38,8.21
42,170685,134233,High,Retirement,11,Beginner,78.21,12.59,9.2,0.0
51,56445,22729,Medium,House,19,Expert,71.06,20.52,8.42,0.0
22,88322,60134,Medium,Retirement,5,Beginner,66.86,24.0,9.13,0.0
49,150364,82010,Low,Retirement,20,Expert,22.98,55.71,11.16,10.15
23,293120,202112,Medium,Retirement,19,Beginner,62.52,21.7,9.98,5.8
55,255851,170544,High,Retirement,5,Expert,79.04,9.27,5.31,6.38
40,185278,59126,Medium,Retirement,8,Intermediate,57.41,23.61,8.06,10.91
32,108780,40803,Medium,Retirement,7,Expert,55.68,36.03,8.29,0.0
29,132113,50562,Medium,Wealth Creation,13,Beginner,59.28,31.17,9.54,0.0
25,179912,143340,Low,Wealth Creation,18,Beginner,15.65,72.44,11.91,0.0
36,190457,144717,Medium,Education,23,Intermediate,63.64,28.86,7.5,0.0
41,44976,29130,High,Wealth Creation,25,Beginner,80.71,9.49,9.8,0.0
50,271666,89025,Medium,Wealth Creation,24,Intermediate,51.42,25.36,10.62,12.59
38,70248,30194,Low,House,29,Intermediate,23.93,64.06,12.02,0.0
57,243777,73728,Low,Education,25,Intermediate,15.59,60.22,14.35,9.84
46,45020,23486,Medium,Education,17,Beginner,57.17,30.41,12.41,0.0
32,153922,74576,Low,House,21,Beginner,28.51,54.84,8.78,7.87
44,249016,182289,Low,House,9,Beginner,26.41,64.51,9.08,0.0
26,90400,69204,Low,Education,6,Beginner,25.62,66.5,7.89,0.0
34,56021,20588,Low,Education,14,Beginner,28.81,61.87,9.32,0.0
49,235657,113416,Low,Retirement,17,Intermediate,23.68,59.56,9.22,7.55
47,185912,86780,Medium,Wealth Creation,20,Beginner,55.46,22.64,10.41,11.48
28,160179,54046,Low,Wealth Creation,22,Expert,14.65,58.14,8.67,18.53
51,278480,92734,Low,Education,4,Intermediate,22.53,56.35,8.55,12.57
57,139324,45232,Medium,Education,2,Beginner,45.17,44.37,10.46,0.0
58,63890,40489,Medium,Education,28,Intermediate,62.38,23.95,13.66,0.0
57,137174,56509,Medium,Education,18,Intermediate,54.5,30.87,14.62,0.0
31,275678,211395,Medium,Wealth Creation,7,Beginner,58.8,33.84,7.36,0.0
41,118185,46889,Low,Education,15,Intermediate,16.34,74.07,9.59,0.0
52,299702,148346,Low,Education,4,Intermediate,12.61,68.12,6.95,12.31
41,66737,43516,Low,House,19,Beginner,20.8,68.81,10.39,0.0
26,149237,47536,Medium,Retirement,3,Beginner,60.21,32.83,6.95,0.0
35,285116,189437,Low,Wealth Creation,7,Beginner,14.42,71.52,7.68,6.38
26,47909,21822,Low,Wealth Creation,18,Expert,18.6,69.52,11.87,0.0
35,161002,51585,Medium,Education,22,Beginner,45.43,33.34,7.2,14.03
27,279990,192497,High,Retirement,2,Intermediate,61.59,11.47,10.31,16.64
38,27373,10724,High,Retirement,28,Beginner,79.42,12.25,8.33,0.0
28,27642,14696,Low,House,1,Beginner,19.14,72.39,8.47,0.0
46,205784,156680,Medium,Education,7,Beginner,63.86,28.08,8.06,0.0
48,160749,124052,Medium,Education,18,Beginner,69.87,20.7,9.43,0.0
45,250596,170220,High,Wealth Creation,12,Intermediate,70.01,8.93,10.42,10.63
31,225671,68535,High,Wealth Creation,23,Beginner,72.36,13.43,5.93,8.29
29,134897,98877,Medium,Education,16,Intermediate,65.24,24.66,10.11,0.0
45,297906,207169,Medium,Wealth Creation,23,Expert,55.49,26.36,8.36,9.8
39,184052,122409,Medium,Retirement,15,Intermediate,55.18,28.42,7.85,8.55
57,142984,56672,Medium,Wealth Creation,11,Beginner,67.87,20.1,12.03,0.0
49,154365,103398,Medium,House,29,Beginner,54.7,27.93,10.01,7.37
53,245902,130095,Medium,Education,12,Beginner,53.99,31.36,9.22,5.43
53,87359,33059,Medium,Education,17,Beginner,54.51,36.06,9.43,0.0
43,150466,112452,Low,Retirement,7,Expert,20.95,70.48,8.57,0.0
23,258269,101982,Medium,Retirement,14,Beginner,57.7,22.72,10.51,9.07
55,201549,97365,Medium,Wealth Creation,8,Expert,52.27,29.44,7.31,10.97
37,144277,53966,Low,Education,17,Intermediate,25.9,62.54,11.56,0.0
30,281879,114911,Medium,Education,1,Intermediate,36.64,39.54,9.09,14.73
23,55851,41212,Low,Wealth Creation,25,Intermediate,17.25,72.42,10.33,0.0
56,187462,66530,Low,House,26,Intermediate,15.4,57.98,11.13,15.49
50,119083,83843,Medium,Wealth Creation,3,Intermediate,55.66,34.74,9.6,0.0
24,249171,186446,High,House,7,Expert,71.8,20.07,8.13,0.0
49,164378,95495,Medium,Education,12,Expert,51.87,24.26,12.76,11.11
46,128775,63664,High,Education,9,Beginner,84.15,9.76,6.1,0.0
45,137399,97966,Low,Wealth Creation,17,Beginner,23.58,66.62,9.8,0.0
47,201902,77697,Medium,Education,15,Beginner,46.81,35.62,10.41,7.15
52,78008,41142,High,Wealth Creation,23,Expert,76.14,13.59,10.27,0.0
25,118971,39061,Medium,Wealth Creation,25,Beginner,56.55,33.09,10.36,0.0
52,23650,16419,Medium,Education,7,Intermediate,55.38,38.01,6.61,0.0
37,186490,103032,Medium,Wealth Creation,17,Beginner,61.73,21.58,8.9,7.78
43,218139,136458,Low,House,29,Expert,21.24,58.03,7.64,13.09
37,266991,98904,Medium,Wealth Creation,24,Intermediate,48.95,27.98,9.34,13.72
51,269643,166327,Medium,Wealth Creation,12,Intermediate,53.02,22.3,9.42,15.26
52,66936,47830,High,Wealth Creation,18,Intermediate,81.98,7.49,10.53,0.0
55,200449,86987,Medium,Retirement,24,Intermediate,54.23,21.07,11.88,12.82
52,78453,46477,Medium,Wealth Creation,11,Beginner,59.15,32.04,8.81,0.0
26,67098,20261,High,House,23,Beginner,82.36,6.9,10.73,0.0
42,195295,150243,Medium,Retirement,27,Expert,66.62,24.58,8.8,0.0
54,297834,91259,Medium,House,8,Expert,55.31,29.31,9.12,6.25
43,179277,142670,Low,Education,7,Beginner,13.42,79.04,7.55,0.0
40,260491,139744,High,Retirement,17,Beginner,72.46,8.69,8.25,10.61
47,212317,115209,Low,Education,17,Intermediate,22.94,55.14,10.79,11.13
54,200580,102005,Medium,Education,22,Expert,54.83,28.18,9.2,7.79
39,89893,48230,Medium,Wealth Creation,8,Intermediate,53.75,35.36,10.88,0.0
